Date,Datetime,Hour,Time_of_day,Day_of_week,Month,Month_year,Year,Payment_type,Card,Coffee_name,Money
3/1/2024,3/1/2024 10:15,10,morning,Friday,March,2024-03,2024,card,ANON-0000-0000-0001,Latte,38.7
3/1/2024,3/1/2024 12:19,12,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0002,Hot Chocolate,38.7
3/1/2024,3/1/2024 12:20,12,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0002,Hot Chocolate,38.7
3/1/2024,3/1/2024 13:46,13,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0003,Americano,28.9
3/1/2024,3/1/2024 13:48,13,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0004,Latte,38.7
3/1/2024,3/1/2024 15:39,15,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0005,Americano with Milk,33.8
3/1/2024,3/1/2024 16:19,16,at noon,Friday,March,2024-03,2024,card,ANON-0000-0000-0006,Hot Chocolate,38.7
3/1/2024,3/1/2024 18:39,18,evening,Friday,March,2024-03,2024,card,ANON-0000-0000-0007,Americano with Milk,33.8
3/1/2024,3/1/2024 19:22,19,evening,Friday,March,2024-03,2024,card,ANON-0000-0000-0008,Cocoa,38.7
3/1/2024,3/1/2024 19:23,19,evening,Friday,March,2024-03,2024,card,ANON-0000-0000-0008,Americano with Milk,33.8
3/1/2024,3/1/2024 19:29,19,evening,Friday,March,2024-03,2024,card,ANON-0000-0000-0009,Americano with Milk,33.8
3/2/2024,3/2/2024 10:22,10,morning,Saturday,March,2024-03,2024,card,ANON-0000-0000-0010,Americano,28.9
3/2/2024,3/2/2024 10:30,10,morning,Saturday,March,2024-03,2024,cash,N/A,Latte,40
3/2/2024,3/2/2024 10:41,10,morning,Saturday,March,2024-03,2024,card,ANON-0000-0000-0011,Americano with Milk,33.8
3/2/2024,3/2/2024 11:59,11,morning,Saturday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano with Milk,33.8
3/2/2024,3/2/2024 14:38,14,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0013,Americano,28.9
3/2/2024,3/2/2024 16:37,16,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0014,Americano with Milk,33.8
3/2/2024,3/2/2024 17:34,17,at noon,Saturday,March,2024-03,2024,card,ANON-0000-0000-0004,Americano,28.9
3/3/2024,3/3/2024 10:10,10,morning,Sunday,March,2024-03,2024,cash,N/A,Latte,40
3/3/2024,3/3/2024 10:27,10,morning,Sunday,March,2024-03,2024,card,ANON-0000-0000-0015,Latte,38.7
3/3/2024,3/3/2024 11:33,11,morning,Sunday,March,2024-03,2024,card,ANON-0000-0000-0016,Cortado,28.9
3/3/2024,3/3/2024 12:26,12,at noon,Sunday,March,2024-03,2024,card,ANON-0000-0000-0012,Americano,28.9
3/3/2024,3/3/2024 13:09,13,at noon,Sunday,March,2024-03,2024,card,ANON-0000-0000-0017,Hot Chocolate,38.7
3/3/2024,3/3/2024 17:06,17,at noon,Sunday,March,2024-03,2024,card,ANON-0000-0000-0018,Cocoa,38.7
3/3/2024,3/3/2024 17:08,17,at noon,Sunday,March,2024-03,2024,card,ANON-0000-0000-0019,Cortado,28.9
3/3/2024,3/3/2024 18:03,18,evening,Sunday,March,2024-03,2024,card,ANON-0000-0000-0020,Americano with Milk,33.8
3/3/2024,3/3/2024 18:04,18,evening,Sunday,March,2024-03,2024,card,ANON-0000-0000-0020,Americano with Milk,33.8
3/3/2024,3/3/2024 18:08,18,evening,Sunday,March,2024-03,2024,card,ANON-0000-0000-0020,Hot Chocolate,38.7
3/4/2024,3/4/2024 10:03,10,morning,Monday,March,2024-03,2024,card,ANON-0000-0000-0001,Latte,38.7
3/4/2024,3/4/2024 10:54,10,morning,Monday,March,2024-03,2024,card,ANON-0000-0000-0021,Latte,38.7
